행정구역별,2021,Unnamed: 2,Unnamed: 3,2022,Unnamed: 5,Unnamed: 6,2023,Unnamed: 8,Unnamed: 9
,"인구 천명당 범죄발생건수(A÷B×1,000) (건)",범죄발생건수(A) (건),주민등록인구(B) (명),"인구 천명당 범죄발생건수(A÷B×1,000) (건)",범죄발생건수(A) (건),주민등록인구(B) (명),"인구 천명당 범죄발생건수(A÷B×1,000) (건)",범죄발생건수(A) (건),주민등록인구(B) (명)
전국,26.8,1382736,51638809,27.9,1434888,51439038,28.6,1467729,51325329
서울특별시,27.1,257969,9509458,29.6,279507,9428372,29.5,277213,9386034
부산광역시,30,100439,3350380,31.7,105057,3317812,32.3,106433,3293362
대구광역시,28.5,67915,2385412,28.3,66786,2363691,28.1,66674,2374960
인천광역시,26,76584,2948375,27.8,82397,2967314,29.3,87831,2997410
광주광역시,27.3,39392,1441611,27.2,38900,1431050,29.6,42058,1419237
대전광역시,27.5,39982,1452251,30.2,43736,1446072,30,43327,1442216
울산광역시,25.9,29085,1121592,24.6,27286,1110663,27.1,29859,1103661
세종특별자치시,16,5937,371895,17.1,6575,383591,19.7,7603,386525
경기도,26.3,357243,13565450,26.8,364534,13589432,27.7,378157,13630821
강원특별자치도,25.7,39593,1538492,27.1,41715,1536498,28.3,43173,1527807
충청북도,27.2,43397,1597427,27.6,44055,1595058,26.7,42517,1593469
충청남도,25.6,54223,2119257,27.9,59196,2123037,28.9,61507,2130119
전북특별자치도,24.4,43650,1786855,25.5,45199,1769607,26.3,46143,1754757
전라남도,26.4,48380,1832803,26.4,48062,1817697,27.7,49909,1804217
경상북도,25,65553,2626609,25.7,66928,2600492,26.6,67953,2554324
경상남도,26.5,87879,3314183,27.1,88852,3280493,27.8,90536,3251158
제주특별자치도,37.7,25515,676759,38.5,26103,678159,39.7,26836,675252
