"행정구역(시군구)별",2021,2021,2021,2022,2022,2022,2023,2023,2023
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",51638809,25746684,25892125,51439038,25636951,25802087,51325329,25565736,25759593
"서울특별시",9509458,4618040,4891418,9428372,4570048,4858324,9386034,4540031,4846003
"부산광역시",3350380,1639044,1711336,3317812,1619915,1697897,3293362,1605431,1687931
"대구광역시",2385412,1175632,1209780,2363691,1162865,1200826,2374960,1166803,1208157
"인천광역시",2948375,1476373,1472002,2967314,1485175,1482139,2997410,1499016,1498394
"광주광역시",1441611,713015,728596,1431050,707299,723751,1419237,700896,718341
"대전광역시",1452251,724626,727625,1446072,721245,724827,1442216,719292,722924
"울산광역시",1121592,576217,545375,1110663,570368,540295,1103661,567153,536508
"세종특별자치시",371895,185678,186217,383591,191389,192202,386525,192524,194001
"경기도",13565450,6827298,6738152,13589432,6839276,6750156,13630821,6855895,6774926
"강원특별자치도",1538492,774332,764160,1536498,772947,763551,1527807,768449,759358
"충청북도",1597427,810672,786755,1595058,810782,784276,1593469,810448,783021
"충청남도",2119257,1083366,1035891,2123037,1086632,1036405,2130119,1091570,1038549
"전북특별자치도",1786855,888994,897861,1769607,880592,889015,1754757,873419,881338
"전라남도",1832803,922221,910582,1817697,915272,902425,1804217,909548,894669
"경상북도",2626609,1323661,1302948,2600492,1311881,1288611,2554324,1290298,1264026
"경상남도",3314183,1668338,1645845,3280493,1651675,1628818,3251158,1636987,1614171
"제주특별자치도",676759,339177,337582,678159,339590,338569,675252,337976,337276
